"","x"
"723","ENSG00000163394"
"724","ENSG00000110148"
"725","ENSG00000001631"
"726","ENSG00000145386"
"727","ENSG00000134057"
"728","ENSG00000112237"
"729","ENSG00000118971"
"730","ENSG00000112576"
"731","ENSG00000224473"
"732","ENSG00000105173"
"733","ENSG00000162063"
"734","ENSG00000113328"
"735","ENSG00000138764"
"736","ENSG00000134480"
"737","ENSG00000129315"
"738","ENSG00000082258"
"739","ENSG00000146731"
"740","ENSG00000158477"
"741","ENSG00000158485"
"742","ENSG00000158481"
"743","ENSG00000158473"
"744","ENSG00000158488"
"745","ENSG00000116824"
"746","ENSG00000167286"
"747","ENSG00000198851"
"748","ENSG00000160654"
"749","ENSG00000198821"
"750","ENSG00000010610"
"751","ENSG00000110448"
"752","ENSG00000073754"
"753","ENSG00000013725"
"754","ENSG00000173762"
"755","ENSG00000153563"
"756","ENSG00000172116"
"757","ENSG00000254126"
"758","ENSG00000010278"
"759","ENSG00000170458"
"760","ENSG00000177455"
"761","ENSG00000156738"
"762","ENSG00000149516"
"763","ENSG00000284903"
"764","ENSG00000012124"
"765","ENSG00000139193"
"766","ENSG00000178562"
"767","ENSG00000121594"
"768","ENSG00000114013"
"769","ENSG00000120949"
"770","ENSG00000106952"
"771","ENSG00000105383"
"772","ENSG00000105492"
"773","ENSG00000174059"
"774","ENSG00000135218"
"775","ENSG00000073060"
"776","ENSG00000138760"
"777","ENSG00000104894"
"778","ENSG00000004468"
"779","ENSG00000138185"
"780","ENSG00000054179"
"781","ENSG00000197586"
"782","ENSG00000168032"
"783","ENSG00000187097"
"784","ENSG00000101017"
"785","ENSG00000102245"
"786","ENSG00000026508"
"787","ENSG00000196776"
"788","ENSG00000117091"
"789","ENSG00000143119"
"790","ENSG00000116815"
"791","ENSG00000085063"
"792","ENSG00000135404"
"793","ENSG00000129226"
"794","ENSG00000110848"
"795","ENSG00000125726"
"796","ENSG00000137101"
"797","ENSG00000019582"
"798","ENSG00000105369"
"799","ENSG00000007312"
"800","ENSG00000110651"
"801","ENSG00000123146"
"802","ENSG00000177697"
"803","ENSG00000158825"
"804","ENSG00000170312"
"805","ENSG00000248333"
"806","ENSG00000198589"
"807","ENSG00000096401"
"808","ENSG00000122545"
"809","ENSG00000094804"
"810","ENSG00000117399"
"811","ENSG00000164045"
"812","ENSG00000101224"
"813","ENSG00000158402"
"814","ENSG00000004897"
"815","ENSG00000099804"
"816","ENSG00000070831"
"817","ENSG00000039068"
"818","ENSG00000170558"
"819","ENSG00000062038"
"820","ENSG00000179242"
"821","ENSG00000280641"
"822","ENSG00000179776"
"823","ENSG00000113361"
"824","ENSG00000081138"
"825","ENSG00000150394"
"826","ENSG00000113100"
"827","ENSG00000040731"
"828","ENSG00000140937"
"829","ENSG00000154162"
"830","ENSG00000249230"
"831","ENSG00000140945"
"832","ENSG00000129910"
